VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
2,1/1/18 0:40,1/1/18 0:44,N,1,166,166,1,0.78,5,0.5,0.5,0,0,0.3,6.3,2
2,1/1/18 0:45,1/1/18 0:54,N,1,166,238,1,1.97,9.5,0.5,0.5,3.24,0,0.3,14.04,1
2,1/1/18 0:38,1/1/18 0:52,N,1,260,173,4,2.91,12,0.5,0.5,0,0,0.3,13.3,2
2,1/1/18 0:52,1/1/18 1:01,N,1,173,56,5,1.6,8,0.5,0.5,0,0,0.3,9.3,2
1,1/1/18 0:25,1/1/18 0:28,N,1,255,255,2,0.5,4,0.5,0.5,0,0,0.3,5.3,2
1,1/1/18 0:38,1/1/18 0:44,N,1,255,112,1,1.3,6.5,0.5,0.5,1.56,0,0.3,9.36,1
1,1/1/18 0:47,1/1/18 0:55,N,1,112,148,4,3.8,12.5,0.5,0.5,0,0,0.3,13.8,2
2,1/1/18 0:59,1/1/18 1:17,N,1,25,79,1,4.28,16,0.5,0.5,3.46,0,0.3,20.76,1
2,1/1/18 0:11,1/1/18 0:23,N,1,112,256,1,1.98,10,0.5,0.5,0,0,0.3,11.3,2
2,1/1/18 0:28,1/1/18 0:46,N,1,255,209,1,5.27,19,0.5,0.5,4.06,0,0.3,24.36,1
2,1/1/18 1:02,1/1/18 1:26,N,1,256,102,1,4.55,18.5,0.5,0.5,0,0,0.3,19.8,2
2,1/1/18 0:11,1/1/18 0:21,N,1,255,255,1,1.1,7.5,0.5,0.5,1.76,0,0.3,10.56,1
2,1/1/18 0:30,1/1/18 0:44,N,1,256,61,1,2.85,12.5,0.5,0.5,0,0,0.3,13.8,2
2,1/1/18 0:52,1/1/18 1:06,N,1,49,112,1,3.68,14,0.5,0.5,3.06,0,0.3,20.31,1
2,1/1/18 0:33,1/1/18 0:52,N,1,123,14,1,5.35,19,0.5,0.5,0,0,0.3,20.3,1
2,1/1/18 0:16,1/1/18 0:39,N,1,42,68,1,6.32,22.5,0.5,0.5,5.95,0,0.3,29.75,1
2,1/1/18 0:59,1/1/18 1:07,N,1,245,251,1,2.31,9.5,0.5,0.5,0,0,0.3,10.8,2
2,1/1/18 0:29,1/1/18 0:30,N,1,193,193,1,0.51,3.5,0.5,0.5,0,0,0.3,4.8,2
